,comm_id,leg_id
0,HLIG,S001150
1,HLIG,H001047
2,HLIG,S001185
3,HLIG,C001072
4,HLIG,S001175
5,HLIG,Q000023
6,HLIG,S001193
7,HLIG,C001091
8,HLIG,H001064
9,HLIG,W000800
10,HLIG,M001185
11,HLIG,D000627
12,HLIG,K000391
13,HLIG,N000181
14,HLIG,C001062
15,HLIG,T000463
16,HLIG,W000815
17,HLIG,S001192
18,HLIG,C001087
19,HLIG,S001196
20,HLIG,H001073
21,HLIG,R000601
22,HSAG,C001062
23,HSAG,T000467
24,HSAG,S001189
25,HSAG,C001087
26,HSAG,D000616
27,HSAG,H001053
28,HSAG,L000578
29,HSAG,D000619
30,HSAG,Y000065
31,HSAG,A000372
32,HSAG,B001295
33,HSAG,R000603
34,HSAG,A000374
35,HSAG,K000388
36,HSAG,C001108
37,HSAG,M001198
38,HSAG,B001298
39,HSAG,D000628
40,HSAG,J000301
41,HSAG,B001307
42,HSAG,H001088
43,HSAG,P000258
44,HSAG,S001157
45,HSAG,C001059
46,HSAG,F000455
47,HSAG,M000312
48,HSAG,V000132
49,HSAG,P000610
50,HSAG,A000370
51,HSAG,S001209
52,HSAG,H001081
53,HSAG,D000630
54,HSAG,C001124
55,HSAG,C001119
56,HSAG,B001308
57,HSAG,V000133
58,HSAG,H001090
59,HSAG,S001216
60,HSAG,P000597
61,HSAG,B001286
62,HSAG,M001185
63,HSAG,C001112
64,HSAG,L000586
65,HSAG,O000171
66,HSAG,P000613
67,HSAG,K000368
68,HSAG,A000378
69,HSAG03,F000455
70,HSAG03,M000312
71,HSAG03,A000370
72,HSAG03,H001081
73,HSAG03,S001216
74,HSAG03,V000133
75,HSAG03,L000586
76,HSAG03,P000613
77,HSAG03,J000301
78,HSAG03,D000616
79,HSAG03,D000619
80,HSAG03,Y000065
81,HSAG03,B001298
82,HSAG03,H001088
83,HSAG14,P000610
84,HSAG14,D000630
85,HSAG14,C001124
86,HSAG14,H001090
87,HSAG14,B001308
88,HSAG14,V000133
89,HSAG14,S001216
90,HSAG14,P000597
91,HSAG14,C001112
92,HSAG14,P000613
93,HSAG14,M001185
94,HSAG14,L000586
95,HSAG14,D000628
96,HSAG14,T000467
97,HSAG14,H001053
98,HSAG14,L000578
99,HSAG14,D000619
100,HSAG14,Y000065
101,HSAG14,B001295
102,HSAG14,C001108
103,HSAG14,B001307
104,HSAG15,S001209
105,HSAG15,F000455
106,HSAG15,O000171
107,HSAG15,P000597
108,HSAG15,A000378
109,HSAG15,L000578
110,HSAG15,A000372
111,HSAG15,A000374
112,HSAG15,K000388
113,HSAG16,V000132
114,HSAG16,C001119
115,HSAG16,S001157
116,HSAG16,L000586
117,HSAG16,V000133
118,HSAG16,T000467
119,HSAG16,S001189
120,HSAG16,C001087
121,HSAG16,A000372
122,HSAG16,A000374
123,HSAG16,C001112
124,HSAG22,S001157
125,HSAG22,V000133
126,HSAG22,V000132
127,HSAG22,P000610
128,HSAG22,S001209
129,HSAG22,D000630
130,HSAG22,C001119
131,HSAG22,M001185
132,HSAG22,K000368
133,HSAG22,A000378
134,HSAG22,S001189
135,HSAG22,C001087
136,HSAG22,B001295
137,HSAG22,R000603
138,HSAG22,M001198
139,HSAG22,D000628
140,HSAG22,J000301
141,HSAG22,B001307
142,HSAG29,C001059
143,HSAG29,B001308
144,HSAG29,H001081
145,HSAG29,C001124
146,HSAG29,C001119
147,HSAG29,H001090
148,HSAG29,V000132
149,HSAG29,P000610
150,HSAG29,C001112
151,HSAG29,B001286
152,HSAG29,R000603
153,HSAG29,T000467
154,HSAG29,D000616
155,HSAG29,H001053
156,HSAG29,K000388
157,HSAG29,C001108
158,HSAG29,M001198
159,HSAG29,B001298
160,HSAG29,H001088
161,HSAG29,P000613
162,HSAP,G000377
163,HSAP,R000395
164,HSAP,A000055
165,HSAP,S001148
166,HSAP,C001051
167,HSAP,C000059
168,HSAP,C001053
169,HSAP,D000600
170,HSAP,G000560
171,HSAP,W000809
172,HSAP,F000449
173,HSAP,F000459
174,HSAP,H001056
175,HSAP,J000295
176,HSAP,H001052
177,HSAP,R000591
178,HSAP,A000369
179,HSAP,S001192
180,HSAP,P000601
181,HSAP,N000189
182,HSAP,M001194
183,HSAP,R000609
184,HSAP,H001073
185,HSAP,L000480
186,HSAP,K000009
187,HSAP,V000108
188,HSAP,S000248
189,HSAP,D000216
190,HSAP,P000523
191,HSAP,R000486
192,HSAP,B000490
193,HSAP,L000551
194,HSAP,M001143
195,HSAP,R000577
196,HSAP,R000576
197,HSAP,W000797
198,HSAP,C001063
199,HSAP,P000597
200,HSAP,Q000023
201,HSAP,K000381
202,HSAP,C001090
203,HSAP,M001188
204,HSAP,P000607
205,HSAP,C001101
206,HSAP,A000371
207,HSAP,F000462
208,HSAP,B001286
209,HSAP,W000822
210,HSAP,L000581
211,HSAP,T000474
212,HSAP,C001111
213,HSAP,K000368
214,HSAP,C001055
215,HSAP01,B000490
216,HSAP01,D000216
217,HSAP01,P000597
218,HSAP01,P000607
219,HSAP01,L000551
220,HSAP01,M001143
221,HSAP01,C001063
222,HSAP01,F000449
223,HSAP01,A000055
224,HSAP01,H001052
225,HSAP01,M001194
226,HSAP02,V000108
227,HSAP02,M001143
228,HSAP02,R000577
229,HSAP02,R000576
230,HSAP02,K000009
231,HSAP02,C001063
232,HSAP02,K000381
233,HSAP02,A000371
234,HSAP02,B001286
235,HSAP02,C001111
236,HSAP02,K000368
237,HSAP02,C000059
238,HSAP02,R000395
239,HSAP02,C001053
240,HSAP02,W000809
241,HSAP02,A000055
242,HSAP02,C001051
243,HSAP02,D000600
244,HSAP04,L000480
245,HSAP04,L000551
246,HSAP04,M001188
247,HSAP04,P000523
248,HSAP04,F000462
249,HSAP04,T000474
250,HSAP04,R000395
251,HSAP04,F000449
252,HSAP04,R000591
253,HSAP06,M001143
254,HSAP06,P000597
255,HSAP06,K000381
256,HSAP06,S000248
257,HSAP06,Q000023
258,HSAP06,W000822
259,HSAP06,L000581
260,HSAP06,J000295
261,HSAP06,S001148
262,HSAP06,S001192
263,HSAP06,A000369
264,HSAP07,D000216
265,HSAP07,R000486
266,HSAP07,L000551
267,HSAP07,P000607
268,HSAP07,C001101
269,HSAP07,F000462
270,HSAP07,B001286
271,HSAP07,W000822
272,HSAP07,C001053
273,HSAP07,H001052
274,HSAP07,H001056
275,HSAP07,M001194
276,HSAP07,G000560
277,HSAP10,K000009
278,HSAP10,V000108
279,HSAP10,W000797
280,HSAP10,K000368
281,HSAP10,K000381
282,HSAP10,P000607
283,HSAP10,F000462
284,HSAP10,S001148
285,HSAP10,C000059
286,HSAP10,F000459
287,HSAP10,N000189
288,HSAP15,R000486
289,HSAP15,C001063
290,HSAP15,R000576
291,HSAP15,P000523
292,HSAP15,W000797
293,HSAP15,M001188
294,HSAP15,A000371
295,HSAP15,F000459
296,HSAP15,P000601
297,HSAP15,N000189
298,HSAP15,R000609
299,HSAP18,W000797
300,HSAP18,B000490
301,HSAP18,C001055
302,HSAP18,R000577
303,HSAP18,P000597
304,HSAP18,C001090
305,HSAP18,B001286
306,HSAP18,C001051
307,HSAP18,R000591
308,HSAP18,R000609
309,HSAP18,H001073
310,HSAP19,S000248
311,HSAP19,C001090
312,HSAP19,M001188
313,HSAP19,L000581
314,HSAP19,C001111
315,HSAP19,C001055
316,HSAP19,K000009
317,HSAP19,A000055
318,HSAP19,R000591
319,HSAP19,P000601
320,HSAP19,G000560
321,HSAP20,D000600
322,HSAP20,W000809
323,HSAP20,R000609
324,HSAP20,H001073
325,HSAP20,P000523
326,HSAP20,Q000023
327,HSAP20,C001101
328,HSAP20,W000822
329,HSAP20,L000581
330,HSAP20,T000474
331,HSAP20,A000371
332,HSAP23,Q000023
333,HSAP23,S000248
334,HSAP23,C001090
335,HSAP23,B000490
336,HSAP23,T000474
337,HSAP23,C001111
338,HSAP23,K000368
339,HSAP23,G000560
340,HSAP23,A000369
341,HSAP23,S001192
342,HSAP23,J000295
343,HSAP24,R000577
344,HSAP24,R000576
345,HSAP24,C001101
346,HSAP24,C001055
347,HSAP24,H001056
348,HSAP24,N000189
349,HSAS,T000238
350,HSAS,W000795
351,HSAS,B001250
352,HSAS,T000463
353,HSAS,R000575
354,HSAS,C001062
355,HSAS,L000564
356,HSAS,W000804
357,HSAS,H001053
358,HSAS,S001189
359,HSAS,B001274
360,HSAS,C001094
361,HSAS,B001289
362,HSAS,G000546
363,HSAS,S001196
364,HSAS,D000616
365,HSAS,A000374
366,HSAS,K000388
367,HSAS,G000579
368,HSAS,G000578
369,HSAS,B001298
370,HSAS,B001299
371,HSAS,C001109
372,HSAS,M001201
373,HSAS,B001301
374,HSAS,W000823
375,HSAS,S000510
376,HSAS,D000598
377,HSAS,L000559
378,HSAS,L000560
379,HSAS,C000754
380,HSAS,C001069
381,HSAS,G000559
382,HSAS,S001175
383,HSAS,G000571
384,HSAS,N000188
385,HSAS,G000574
386,HSAS,M001196
387,HSAS,C001112
388,HSAS,B001304
389,HSAS,K000389
390,HSAS,K000375
391,HSAS,V000132
392,HSAS,K000394
393,HSAS,H001083
394,HSAS,C001123
395,HSAS,H001085
396,HSAS,C001121
397,HSAS,T000484
398,HSAS,S001208
399,HSAS,S001207
400,HSAS,H001087
401,HSAS,E000299
402,HSAS,H001080
403,HSAS,G000592
404,HSAS,T000482
405,HSAS,L000591
406,HSAS02,K000388
407,HSAS02,S001175
408,HSAS02,D000598
409,HSAS02,G000574
410,HSAS02,C001123
411,HSAS02,E000299
412,HSAS02,H001080
413,HSAS02,T000482
414,HSAS02,L000591
415,HSAS02,A000374
416,HSAS02,C001109
417,HSAS02,M001201
418,HSAS02,B001301
419,HSAS02,G000578
420,HSAS03,L000564
421,HSAS03,G000559
422,HSAS03,G000571
423,HSAS03,K000394
424,HSAS03,H001083
425,HSAS03,H001085
426,HSAS03,C001121
427,HSAS03,T000484
428,HSAS03,S001208
429,HSAS03,E000299
430,HSAS03,H001080
431,HSAS03,S001189
432,HSAS03,W000795
433,HSAS03,B001250
434,HSAS03,R000575
435,HSAS03,B001274
436,HSAS03,S001196
437,HSAS03,B001301
438,HSAS25,H001053
439,HSAS25,N000188
440,HSAS25,L000559
441,HSAS25,C001069
442,HSAS25,G000574
443,HSAS25,C001112
444,HSAS25,B001304
445,HSAS25,V000132
446,HSAS25,T000484
447,HSAS25,S001207
448,HSAS25,H001087
449,HSAS25,G000592
450,HSAS25,C001094
451,HSAS25,G000578
452,HSAS25,B001298
453,HSAS25,B001299
454,HSAS25,M001201
455,HSAS25,T000463
456,HSAS25,L000564
457,HSAS25,W000804
458,HSAS26,S001196
459,HSAS26,L000559
460,HSAS26,L000560
461,HSAS26,C000754
462,HSAS26,G000571
463,HSAS26,B001304
464,HSAS26,K000389
465,HSAS26,K000375
466,HSAS26,K000394
467,HSAS26,H001085
468,HSAS26,C001121
469,HSAS26,S001208
470,HSAS26,T000482
471,HSAS26,G000546
472,HSAS26,A000374
473,HSAS26,C001062
474,HSAS26,S001189
475,HSAS26,D000616
476,HSAS26,G000579
477,HSAS26,W000823
478,HSAS26,B001298
479,HSAS26,B001299
480,HSAS28,W000804
481,HSAS28,C001069
482,HSAS28,L000559
483,HSAS28,C000754
484,HSAS28,N000188
485,HSAS28,M001196
486,HSAS28,V000132
487,HSAS28,C001123
488,HSAS28,S001207
489,HSAS28,H001087
490,HSAS28,G000592
491,HSAS28,L000591
492,HSAS28,C001062
493,HSAS28,G000579
494,HSAS28,B001301
495,HSAS28,W000823
496,HSAS28,H001053
497,HSAS28,C001094
498,HSAS28,B001289
499,HSAS28,K000388
500,HSAS29,T000463
501,HSAS29,C000754
502,HSAS29,D000598
503,HSAS29,L000560
504,HSAS29,G000559
505,HSAS29,S001175
506,HSAS29,M001196
507,HSAS29,C001112
508,HSAS29,K000389
509,HSAS29,K000375
510,HSAS29,H001083
511,HSAS29,W000795
512,HSAS29,B001250
513,HSAS29,R000575
514,HSAS29,B001274
515,HSAS29,B001289
516,HSAS29,D000616
517,HSAS29,C001109
518,HSBA,M001156
519,HSBA,K000210
520,HSBA,L000491
521,HSBA,P000599
522,HSBA,L000569
523,HSBA,H001058
524,HSBA,S001187
525,HSBA,W000812
526,HSBA,B001282
527,HSBA,T000470
528,HSBA,W000816
529,HSBA,H001072
530,HSBA,E000294
531,HSBA,Z000017
532,HSBA,L000583
533,HSBA,M001195
534,HSBA,D000626
535,HSBA,B001305
536,HSBA,K000392
537,HSBA,H001074
538,HSBA,G000588
539,HSBA,R000612
540,HSBA,S001213
541,HSBA,G000589
542,HSBA,R000611
543,HSBA,W000187
544,HSBA,M000087
545,HSBA,V000081
546,HSBA,S000344
547,HSBA,M001137
548,HSBA,C001049
549,HSBA,S001157
550,HSBA,G000553
551,HSBA,C001061
552,HSBA,P000593
553,HSBA,H001047
554,HSBA,F000454
555,HSBA,B001281
556,HSBA,H001064
557,HSBA,V000130
558,HSBA,G000583
559,HSBA,G000581
560,HSBA,L000586
561,HSBA,S001204
562,HSBA,T000481
563,HSBA,P000618
564,HSBA,A000378
565,HSBA,C001117
566,HSBA,P000617
567,HSBA,M001209
568,HSBA,O000172
569,HSBA,W000825
570,HSBA,L000562
571,HSBA,G000571
572,HSBA,A000370
573,HSBA,D000631
574,HSBA,G000586
575,HSBA,G000587
576,HSBA,P000616
577,HSBA04,C001049
578,HSBA04,V000081
579,HSBA04,C001061
580,HSBA04,S000344
581,HSBA04,B001281
582,HSBA04,G000553
583,HSBA04,G000581
584,HSBA04,M000087
585,HSBA04,H001064
586,HSBA04,V000130
587,HSBA04,L000586
588,HSBA04,T000481
589,HSBA04,A000378
590,HSBA04,L000569
591,HSBA04,H001058
592,HSBA04,T000470
593,HSBA04,Z000017
594,HSBA04,K000392
595,HSBA04,G000588
596,HSBA04,R000612
597,HSBA04,S001213
598,HSBA04,G000589
599,HSBA09,B001282
600,HSBA09,G000553
601,HSBA09,B001281
602,HSBA09,L000562
603,HSBA09,V000081
604,HSBA09,P000593
605,HSBA09,T000481
606,HSBA09,C001117
607,HSBA09,D000631
608,HSBA09,G000587
609,HSBA09,P000616
610,HSBA09,P000599
611,HSBA09,Z000017
612,HSBA09,L000583
613,HSBA09,D000626
614,HSBA09,R000612
615,HSBA09,S001213
616,HSBA15,L000569
617,HSBA15,M001137
618,HSBA15,S001157
619,HSBA15,V000081
620,HSBA15,C001049
621,HSBA15,H001064
622,HSBA15,F000454
623,HSBA15,L000586
624,HSBA15,T000481
625,HSBA15,P000618
626,HSBA15,P000617
627,HSBA15,M001209
628,HSBA15,O000172
629,HSBA15,W000825
630,HSBA15,L000491
631,HSBA15,P000599
632,HSBA15,B001282
633,HSBA15,T000470
634,HSBA15,W000816
635,HSBA15,L000583
636,HSBA15,B001305
637,HSBA15,K000392
638,HSBA15,R000611
639,HSBA16,H001058
640,HSBA16,M000087
641,HSBA16,S000344
642,HSBA16,S001157
643,HSBA16,H001047
644,HSBA16,F000454
645,HSBA16,M001137
646,HSBA16,V000130
647,HSBA16,G000583
648,HSBA16,G000581
649,HSBA16,S001204
650,HSBA16,P000618
651,HSBA16,A000378
652,HSBA16,C001117
653,HSBA16,O000172
654,HSBA16,K000210
655,HSBA16,S001187
656,HSBA16,W000812
657,HSBA16,H001072
658,HSBA16,E000294
659,HSBA16,M001195
660,HSBA16,D000626
661,HSBA16,H001074
662,HSBA20,S001187
663,HSBA20,C001061
664,HSBU,W000809
665,HSBU,W000810
666,HSBU,J000292
667,HSBU,S001195
668,HSBU,F000461
669,HSBU,H001065
670,HSBU,S001192
671,HSBU,N000190
672,HSBU,R000614
673,HSBU,M001204
674,HSBU,T000480
675,HSBU,C001120
676,HSBU,H001082
677,HSBU,B001309
678,HSBU,Y000062
679,HSBU,M001196
680,HSBU,J000294
681,HSBU,H001038
682,HSBU,B001296
683,HSBU,K000389
684,HSBU,D000216
685,HSBU,D000399
686,HSBU,P000523
687,HSBU,S001145
688,HSBU,K000380
689,HSBU,P000613
690,HSBU,M001206
691,HSBU,H001066
692,HSBU,S000185
693,HSBU,J000032
694,HSBU,L000551
695,HSBU,J000298
696,HSBU,O000173
697,HSBU,S001165
698,HSBU,P000608
699,HSBU,C000754
700,HSED,F000450
701,HSED,R000582
702,HSED,T000467
703,HSED,W000798
704,HSED,G000558
705,HSED,B001289
706,HSED,G000576
707,HSED,S001196
708,HSED,A000372
709,HSED,S001199
710,HSED,B001299
711,HSED,W000819
712,HSED,C001108
713,HSED,C001118
714,HSED,F000469
715,HSED,T000479
716,HSED,W000824
717,HSED,W000827
718,HSED,M001204
719,HSED,T000480
720,HSED,J000301
721,HSED,S000185
722,HSED,D000598
723,HSED,G000551
724,HSED,C001069
725,HSED,F000455
726,HSED,S001177
727,HSED,W000808
728,HSED,B001278
729,HSED,T000472
730,HSED,A000370
731,HSED,D000623
732,HSED,N000188
733,HSED,J000298
734,HSED,M001206
735,HSED,W000826
736,HSED,H001090
737,HSED,M001208
738,HSED,S001216
739,HSED,U000040
740,HSED,H001081
741,HSED,S001206
742,HSED,L000592
743,HSED,O000173
744,HSED,T000483
745,HSED,S001215
746,HSED,L000590
747,HSED,T000482
748,HSED,C001091
749,HSED,K000395
750,HSED02,W000798
751,HSED02,R000582
752,HSED02,A000372
753,HSED02,B001299
754,HSED02,F000469
755,HSED02,T000479
756,HSED02,W000824
757,HSED02,W000827
758,HSED02,M001204
759,HSED02,J000301
760,HSED02,W000808
761,HSED02,C001069
762,HSED02,F000455
763,HSED02,N000188
764,HSED02,M001206
765,HSED02,W000826
766,HSED02,H001090
767,HSED02,M001208
768,HSED02,U000040
769,HSED02,S001206
770,HSED02,L000592
771,HSED02,S001215
772,HSED02,T000482
773,HSED02,S000185
774,HSED10,B001289
775,HSED10,W000819
776,HSED10,D000623
777,HSED10,C001118
778,HSED10,W000827
779,HSED10,A000370
780,HSED10,T000472
781,HSED10,J000298
782,HSED10,W000826
783,HSED10,M001208
784,HSED10,O000173
785,HSED10,S001215
786,HSED13,S001199
787,HSED13,G000558
788,HSED13,G000576
789,HSED13,S001196
790,HSED13,S001177
791,HSED13,B001299
792,HSED13,W000819
793,HSED13,C001108
794,HSED13,C001118
795,HSED13,F000469
796,HSED13,W000824
797,HSED13,M001204
798,HSED13,T000480
799,HSED13,D000598
800,HSED13,G000551
801,HSED13,C001069
802,HSED13,B001278
803,HSED13,T000472
804,HSED13,A000370
805,HSED13,N000188
806,HSED13,J000298
807,HSED13,H001090
808,HSED13,L000592
809,HSED13,O000173
810,HSED13,T000483
811,HSED13,L000590
812,HSED13,C001091
813,HSED13,T000482
814,HSED14,A000372
815,HSED14,T000467
816,HSED14,G000576
817,HSED14,T000479
818,HSED14,T000480
819,HSED14,S001177
820,HSED14,S001216
821,HSED14,H001081
822,HSED14,S001206
823,HSED14,D000598
824,HSED14,W000808
825,HSED14,D000623
826,HSED14,M001206
827,HSFA,M001157
828,HSFA,S000522
829,HSFA,C000266
830,HSFA,W000795
831,HSFA,P000605
832,HSFA,Y000065
833,HSFA,K000378
834,HSFA,Z000017
835,HSFA,S000244
836,HSFA,W000812
837,HSFA,M001199
838,HSFA,R000607
839,HSFA,F000466
840,HSFA,C001114
841,HSFA,B001297
842,HSFA,W000827
843,HSFA,R000610
844,HSFA,B001309
845,HSFA,P000615
846,HSFA,W000824
847,HSFA,G000591
848,HSFA,E000179
849,HSFA,S000344
850,HSFA,M001137
851,HSFA,S001165
852,HSFA,C001078
853,HSFA,D000610
854,HSFA,B001270
855,HSFA,K000375
856,HSFA,C001084
857,HSFA,B001287
858,HSFA,C001091
859,HSFA,T000468
860,HSFA,E000297
861,HSFA,L000582
862,HSFA,W000826
863,HSFA,P000616
864,HSFA,O000173
865,HSFA,A000376
866,HSFA,L000592
867,HSFA,S001209
868,HSFA,H001085
869,HSFA,M001203
870,HSFA,T000483
871,HSFA,C001059
872,HSFA,V000130
873,HSFA,G000581
874,HSFA05,Y000065
875,HSFA05,P000605
876,HSFA05,W000812
877,HSFA05,M001199
878,HSFA05,C001114
879,HSFA05,S000344
880,HSFA05,T000468
881,HSFA05,H001085
882,HSFA05,C001078
883,HSFA05,B001287
884,HSFA05,L000592
885,HSFA05,S001209
886,HSFA07,R000607
887,HSFA07,S000522
888,HSFA07,Y000065
889,HSFA07,C001114
890,HSFA07,B001297
891,HSFA07,G000591
892,HSFA07,S001165
893,HSFA07,M001137
894,HSFA07,C001091
895,HSFA07,E000297
896,HSFA07,P000616
897,HSFA07,L000592
898,HSFA07,G000581
899,HSFA07,V000130
900,HSFA13,W000795
901,HSFA13,C000266
902,HSFA13,K000378
903,HSFA13,Z000017
904,HSFA13,M001199
905,HSFA13,F000466
906,HSFA13,R000610
907,HSFA13,W000824
908,HSFA13,D000610
909,HSFA13,C001078
910,HSFA13,C001084
911,HSFA13,L000582
912,HSFA13,A000376
913,HSFA13,M001203
914,HSFA13,T000483
915,HSFA13,S000344
916,HSFA13,K000375
917,HSFA13,V000130
918,HSFA14,K000378
919,HSFA14,W000795
920,HSFA14,W000812
921,HSFA14,S000244
922,HSFA14,R000607
923,HSFA14,F000466
924,HSFA14,P000615
925,HSFA14,W000827
926,HSFA14,G000591
927,HSFA14,B001309
928,HSFA14,K000375
929,HSFA14,S001209
930,HSFA14,M001137
931,HSFA14,S001165
932,HSFA14,D000610
933,HSFA14,C001084
934,HSFA14,T000468
935,HSFA14,W000826
936,HSFA14,T000483
937,HSFA14,C001059
938,HSFA14,G000581
939,HSFA14,C001091
940,HSFA16,S000522
941,HSFA16,W000827
942,HSFA16,B001309
943,HSFA16,B001270
944,HSFA16,S000244
945,HSFA16,W000826
946,HSFA16,P000616
947,HSFA16,O000173
948,HSFA16,H001085
949,HSFA17,Z000017
950,HSFA17,P000605
951,HSFA17,B001297
952,HSFA17,R000610
953,HSFA17,B001287
954,HSFA17,O000173
955,HSFA17,E000297
956,HSFA17,L000582
957,HSFA17,M001203
958,HSFA17,C001084
959,HSGO,J000289
960,HSGO,G000565
961,HSGO,F000450
962,HSGO,M001184
963,HSGO,M001187
964,HSGO,H001071
965,HSGO,G000576
966,HSGO,C001108
967,HSGO,C001115
968,HSGO,G000563
969,HSGO,H001077
970,HSGO,N000190
971,HSGO,R000614
972,HSGO,M001205
973,HSGO,G000590
974,HSGO,A000377
975,HSGO,S001214
976,HSGO,M000087
977,HSGO,N000147
978,HSGO,C001049
979,HSGO,L000562
980,HSGO,C000754
981,HSGO,C001078
982,HSGO,K000391
983,HSGO,R000606
984,HSGO,R000616
985,HSGO,H001087
986,HSGO,W000797
987,HSGO,S001168
988,HSGO,W000800
989,HSGO,S001175
990,HSGO,K000385
991,HSGO,D000623
992,HSGO,L000581
993,HSGO,P000610
994,HSGO,K000389
995,HSGO,G000585
996,HSGO,O000172
997,HSGO,P000617
998,HSGO,T000481
999,HSGO,K000395
1000,HSGO06,H001071
1001,HSGO06,G000565
1002,HSGO06,F000450
1003,HSGO06,M001187
1004,HSGO06,C001115
1005,HSGO06,G000590
1006,HSGO06,L000562
1007,HSGO06,C000754
1008,HSGO06,W000800
1009,HSGO06,R000616
1010,HSGO06,W000797
1011,HSGO06,K000385
1012,HSGO06,D000623
1013,HSGO06,P000610
1014,HSGO06,L000581
1015,HSGO06,H001077
1016,HSGO24,M001187
